,event_type,img_id,loc_left,loc_top,time
9805,mouseout,img_6,301px,906.267px,1634202800.531
9806,mouseover,img_6,301px,906.267px,1634202800.532
9807,mouseover,img_6,301px,906.267px,1634202800.548
9808,mouseout,img_6,301px,906.267px,1634202800.548
9809,mouseout,img_6,301px,906.267px,1634202800.565
9810,mouseover,img_6,301px,906.267px,1634202800.567
9811,mouseout,img_6,301px,906.267px,1634202800.715
9812,mouseover,img_6,301px,906.267px,1634202800.716
9813,mouseout,img_6,301px,906.267px,1634202800.931
9814,mouseover,img_6,301px,906.267px,1634202800.933
9815,mouseout,img_6,301px,906.267px,1634202801.497
9816,mouseover,img_6,301px,906.267px,1634202801.498
9817,mouseout,img_6,301px,906.267px,1634202801.514
9818,mouseover,img_6,301px,906.267px,1634202801.515
9819,mouseout,img_6,301px,906.267px,1634202801.53
9820,mouseover,img_5F,658px,1148.93px,1634202802.214
9821,mouseout,img_5F,658px,1148.93px,1634202802.247
9822,mouseover,img_B1,560px,670px,1634202803.632
9823,mouseout,img_B1,560px,670px,1634202804.595
9824,mouseover,img_6,301px,906.267px,1634202804.612
9825,mouseout,img_6,301px,906.267px,1634202804.678
9826,mouseover,img_5F,658px,1148.93px,1634202804.679
9827,mouseout,img_5F,658px,1148.93px,1634202804.694
9828,mouseover,img_5F,658px,1148.93px,1634202804.696
9829,mouseout,img_5F,658px,1148.93px,1634202804.711
9830,mouseover,img_5F,658px,1148.93px,1634202804.713
9831,mouseout,img_5F,658px,1148.93px,1634202804.761
9832,mouseover,img_5F,658px,1148.93px,1634202804.763
9833,mouseover,img_5F,658px,1148.93px,1634202804.795
9834,mouseout,img_5F,658px,1148.93px,1634202804.794
9835,mouseout,img_5F,658px,1148.93px,1634202804.861
9836,mouseover,img_5F,658px,1148.93px,1634202804.862
9837,mouseout,img_5F,658px,1148.93px,1634202805.667
9838,mouseover,img_B1,560px,670px,1634202807.092
9839,mouseout,img_B1,560px,670px,1634202807.175
9840,mouseover,img_3F,792px,919.267px,1634202807.892
9841,mouseout,img_3F,792px,919.267px,1634202808.425
9842,mouseover,img_6F,855px,10px,1634202809.008
9843,mouseout,img_6F,855px,10px,1634202809.024
9844,mouseover,img_6F,855px,10px,1634202809.025
9845,mouseover,img_6F,855px,10px,1634202809.176
9846,mouseout,img_6F,855px,10px,1634202809.174
9847,mouseover,img_6F,855px,10px,1634202809.581
9848,mouseout,img_6F,855px,10px,1634202809.581
9849,drag-start-playground,img_6F,855px,10px,1634202809.582
9850,mouseover,img_6F,814px,137.267px,1634202809.623
9851,mouseout,img_6F,814px,137.267px,1634202809.622
9852,mouseout,img_6F,810px,147.267px,1634202809.625
9853,mouseover,img_6F,810px,147.267px,1634202809.626
9854,mouseout,img_6F,810px,147.267px,1634202809.639
9855,mouseover,img_6F,810px,147.267px,1634202809.64
9856,mouseout,img_6F,804px,160.267px,1634202809.642
9857,mouseover,img_6F,804px,160.267px,1634202809.642
9858,mouseout,img_6F,804px,160.267px,1634202809.657
9859,mouseover,img_6F,804px,160.267px,1634202809.662
9860,mouseout,img_6F,801px,169.267px,1634202809.666
9861,mouseover,img_6F,801px,169.267px,1634202809.668
9862,mouseout,img_6F,801px,169.267px,1634202809.678
9863,mouseover,img_6F,801px,169.267px,1634202809.679
9864,mouseout,img_6F,797px,182.267px,1634202809.682
9865,mouseover,img_6F,797px,182.267px,1634202809.682
9866,mouseout,img_6F,795px,186.267px,1634202809.723
9867,mouseover,img_6F,795px,186.267px,1634202809.723
9868,mouseout,img_6F,792px,194.267px,1634202809.725
9869,mouseover,img_6F,792px,194.267px,1634202809.726
9870,mouseout,img_6F,792px,194.267px,1634202809.739
9871,mouseover,img_6F,792px,194.267px,1634202809.74
